project,config,run_index,classname,testname,status,message
javadelight.delight-nashorn-sandbox,LOCAL_UNLIMITED,1,delight.nashornsandbox.TestEvalWithScriptContextWithNewBindings,testWithNewBindings,pass,
javadelight.delight-nashorn-sandbox,LOCAL_UNLIMITED,1,delight.nashornsandbox.TestEvalWithScriptContextWithNewBindings,testWithNewSimpleBindings,pass,
javadelight.delight-nashorn-sandbox,LOCAL_UNLIMITED,1,delight.nashornsandbox.TestEvalWithScriptContextWithNewBindings,testWithNewBindingsScriptContext,pass,
javadelight.delight-nashorn-sandbox,LOCAL_UNLIMITED,1,delight.nashornsandbox.TestEvalWithScriptContextWithNewBindings,testWithExistingBindings,pass,
javadelight.delight-nashorn-sandbox,LOCAL_UNLIMITED,1,delight.nashornsandbox.TestRemoveComments,test,pass,
javadelight.delight-nashorn-sandbox,LOCAL_UNLIMITED,1,delight.nashornsandbox.TestIssue34,testIssue34_Scenario1,pass,
javadelight.delight-nashorn-sandbox,LOCAL_UNLIMITED,1,delight.nashornsandbox.TestIssue34,testIssue34_Scenario2,pass,
javadelight.delight-nashorn-sandbox,LOCAL_UNLIMITED,1,delight.nashornsandbox.TestIssue34,testIssue34_Scenario3,pass,
javadelight.delight-nashorn-sandbox,LOCAL_UNLIMITED,1,delight.nashornsandbox.TestIssue34,testIssue34_Scenario3_2,pass,
javadelight.delight-nashorn-sandbox,LOCAL_UNLIMITED,1,delight.nashornsandbox.TestIssue34,testIssue34_Scenario4,pass,
javadelight.delight-nashorn-sandbox,LOCAL_UNLIMITED,1,delight.nashornsandbox.TestIssue34,testIssue34_Scenario5,pass,
javadelight.delight-nashorn-sandbox,LOCAL_UNLIMITED,1,delight.nashornsandbox.TestGlobalVariable,test_java_variable,pass,
javadelight.delight-nashorn-sandbox,LOCAL_UNLIMITED,1,delight.nashornsandbox.TestIfElse,testIfElse,pass,
javadelight.delight-nashorn-sandbox,LOCAL_UNLIMITED,1,delight.nashornsandbox.TestIssue36,test,pass,
