language,project,classname,testname,message,message_category,occurrence_count
java,activiti_activiti,org.activiti.engine.test.api.event.ActivityEventsTest,testActivityTimeOutEvent,time limit of 2000 was exceeded,other,2
java,activiti_activiti,org.activiti.engine.test.api.task.TaskServiceTest,testGetVariableByHistoricActivityInstance,expected:&lt;value1&gt; but was:&lt;value2&gt;,assertion mismatch,20
java,activiti_activiti,org.activiti.engine.test.bpmn.async.AsyncTaskTest,testAsyncCallActivity,time limit of 20000 was exceeded,other,1
java,activiti_activiti,org.activiti.engine.test.bpmn.async.AsyncTaskTest,testAsyncServiceSubProcessTimer,time limit of 5000 was exceeded,other,1
java,apache_ambari,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,expected:&lt;6942&gt; but was:&lt;6941&gt;,assertion mismatch,1
java,apache_ambari,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,expected:&lt;0&gt; but was:&lt;2&gt;,assertion mismatch,1
java,apache_hbase,org.apache.hadoop.hbase.TestEmptyMetaInfo,testEmptyMetaInfo,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.TestInfoServers,testInfoServersAreUp,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.TestMergeMeta,testMergeMeta,Can not compact META table if instance is on-line,other,7
java,apache_hbase,org.apache.hadoop.hbase.TestMergeTable,testMergeTable,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.TestMultiParallelPut,testMultiPut,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.TestRegionRebalancing,testRebalancing,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.TestScanMultipleVersions,testScanMultipleVersions,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.client.TestGetRowVersions,testGetRowMultipleVersions,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.client.TestTimestamp,testTimestamps,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.mapred.TestTableMapReduce,testMultiRegionTable,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.mapreduce.TestTableMapReduce,testMultiRegionTable,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.mapreduce.TestTimeRangeMapRed,testTimeRangeMapRed,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.master.TestMinimumServerCount,testMinimumServerCount,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.master.TestRegionManager,testGetFirstMetaRegionForRegionAfterMetaSplit,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.regionserver.wal.TestLogRolling,testLogRollOnDatanodeDeath,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.regionserver.wal.TestLogRolling,testLogRolling,Failed construction of Master: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterMasterProblem binding to /172.17.0.2:60000 : Address already in use,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.Test00MiniCluster,testDFSMiniCluster,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.Test00MiniCluster,testHBaseMiniCluster,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.Test00MiniCluster,testStargateServlet,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.Test00MiniCluster,testZooKeeperMiniCluster,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.TestRowResource,testDelete,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.TestRowResource,testMultiCellGetPutPB,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.TestRowResource,testMultiCellGetPutXML,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.TestRowResource,testSingleCellGetJSON,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.TestRowResource,testSingleCellGetPutBinary,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.TestRowResource,testSingleCellGetPutPB,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.TestRowResource,testSingleCellGetPutXML,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.TestRowResource,testURLEncodedKey,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.TestScannerResource,testFullTableScan,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.TestScannerResource,testSimpleScannerBinary,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
java,apache_hbase,org.apache.hadoop.hbase.stargate.TestScannerResource,testSimpleScannerPB,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.,other,7
