language,project,n_tests_at_baseline,raft_tests_C,raft_tests_M,raft_tests_D,raft_tests_N,raft_tests_any_config
java,activiti_activiti,2047,0,0,1,3,3
java,alibaba.fastjson,4464,0,0,0,0,0
java,apache.incubator-dubbo-737f7a7_dubbo-remoting.dubbo-remoting-netty,14,1,0,0,0,1
java,apache.incubator-dubbo-737f7a7_dubbo-rpc.dubbo-rpc-dubbo,66,3,0,0,0,3
java,apache_ambari,327,0,0,0,0,0
java,apache_commons-exec,55,1,0,0,0,1
java,apache_hbase,445,0,0,0,0,0
java,apache_httpcore,713,1,1,1,0,2
java,apache_incubator-dubbo,2191,0,0,0,1,1
java,codingchili.excelastic,12,0,0,0,0,0
java,davidmoten.rxjava2-extras,390,1,0,0,0,1
java,elasticjob.elastic-job-lite-b022898_elastic-job-lite-core,502,0,0,0,0,0
java,elasticjob_elastic-job-lite,560,0,0,8,0,8
java,espertechinc.esper-590fa9c_examples.rfidassetzone,117,0,1,1,0,1
java,feroult.yawp-b3bcf9c_yawp-testing.yawp-testing-appengine,1,0,0,0,0,0
java,flaxsearch.luwak-c27ec08_luwak,202,2,0,0,0,2
java,fluent.fluent-logger-java,18,1,0,0,0,1
java,hector-client_hector,146,0,0,0,0,0
java,javadelight.delight-nashorn-sandbox,79,4,0,0,0,4
java,jknack_handlebars.java,428,0,0,0,0,0
java,joel-costigliola_assertj-core,6267,1,0,0,0,1
java,kagkarlsson.db-scheduler,51,2,0,0,0,2
java,kevinsawicki_http-request,163,0,0,0,0,0
java,looly.hutool-91565d0_hutool-cron,402,0,0,0,0,0
java,nationalsecurityagency.timely-3a8cbd3_server,157,0,0,0,0,0
java,ninjaframework_ninja,307,0,0,0,0,0
java,orbit.orbit-c4904af_actors.runtime,42,0,0,0,0,0
java,orbit_orbit,86,1,1,1,4,5
java,oryxproject.oryx-72ae4bb_framework.oryx-common,92,0,0,0,0,0
java,qos-ch_logback,863,18,0,0,0,18
java,spinn3r.noxy-d53a494_noxy-discovery-zookeeper,3,0,0,0,0,0
java,spring-projects_spring-boot,2123,0,0,0,0,0
java,square.retrofit-ae28c3d_retrofit,297,0,0,0,0,0
java,square.retrofit-ae28c3d_retrofit-adapters.rxjava,280,0,0,0,0,0
java,square_okhttp,826,5,0,1,0,6
java,tootallnate_java-websocket,145,11,5,4,6,14
java,undertow-io_undertow,346,0,0,0,0,0
java,wildfly_wildfly,1310,0,0,0,0,0
java,wro4j.wro4j-185ab60_wro4j-extensions,435,0,0,0,0,0
java,wro4j_wro4j,1163,3,0,0,0,3
java,wso2.carbon-apimgt-a82213e_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,2,0,0,0,0,0
java,zalando.riptide-8277e11_riptide-failsafe,33,1,0,0,0,1
java,zxing_zxing,345,1,1,0,0,1
js,2fd-graphdoc,36,0,0,0,0,0
js,actions-javascript-action,3,1,0,0,0,1
js,akiran-react-slick,151,0,0,0,0,0
js,antvis-ava,285,0,0,0,0,0
js,apollographql-apollo-cache-persist,18,0,0,0,0,0
js,apollographql-apollo-client-devtools,59,9,0,0,0,9
js,arqex-react-datetime,149,1,0,0,0,1
js,atomiks-tippyjs-react,37,1,0,0,0,1
js,auth0-lock,386,0,0,0,0,0
js,aws-actions-configure-aws-credentials,45,0,0,0,0,0
js,babel-preset-modules,61,1,0,0,0,1
js,clarus-redux-ship,4,0,0,0,0,0
js,cyrilwanner-next-compose-plugins,27,0,0,0,0,0
js,ds300-derivablejs,77,0,0,0,0,0
js,emotion-js-facepaint,21,0,0,0,0,0
js,facebook-react-native,3946,0,0,0,0,0
js,jsonresume-resume-cli,18,0,0,0,0,0
js,lukeraymonddowning-whenipress,34,0,0,0,0,0
js,pixielabs-cavy,4,0,0,0,0,0
js,reacttraining-react-stdio,4,0,0,0,0,0
js,twilio-twilio-video-app-react,592,0,0,0,0,0
js,zeke-semantic-pull-requests,40,0,0,0,0,0
python,celery-celery,3060,0,0,0,0,0
python,celery-kombu,1300,0,0,0,0,0
python,conan-io-conan,3691,0,0,0,0,0
python,delgan-loguru,1490,0,0,0,0,0
python,encode-django-rest-framework,1530,0,0,0,0,0
python,facebookresearch-hydra,27,0,0,0,0,0
python,flexget-flexget,1427,0,0,0,0,0
python,fonttools-fonttools,3944,0,0,0,0,0
python,graphql-python-graphene,466,0,0,0,0,0
python,ipython-ipython,1282,0,0,0,0,0
python,mitmproxy-mitmproxy,1596,0,0,0,0,0
python,mwaskom-seaborn,2250,0,0,0,0,0
python,prefecthq-prefect,7505,0,0,0,0,0
python,psf-requests,607,0,0,0,0,0
python,pygithub-pygithub,775,0,0,0,0,0
python,pylons-pyramid,2631,0,0,0,0,0
python,pypa-setuptools,1321,0,82,0,25,84
python,python-pillow-pillow,4208,0,0,0,0,0
python,spesmilo-electrum,634,0,0,0,0,0
python,sunpy-sunpy,5,0,0,0,0,0
